idade,peso,altura,imc,sexo_m,sexo_f,lesoes_count,comorbidades_count,n_days,total_exs,lower_count,lower_ratio,has_biset,has_triset,has_drop,quality_label
57,92.6,1.79,28.9,1,0,0,1,3,16,4,0.25,0,0,0,1
46,60.7,1.76,19.6,0,1,1,1,5,32,13,0.406,0,0,0,1
40,88.4,1.73,29.5,0,1,0,0,1,5,2,0.4,0,0,0,1
37,68.3,1.58,27.4,0,1,0,0,5,43,16,0.372,0,0,0,0
43,86.4,1.68,30.6,0,1,0,0,1,5,2,0.4,0,0,0,1
60,99.8,1.89,27.9,1,0,0,0,1,6,2,0.333,0,0,0,1
26,63.3,1.73,21.2,0,1,0,0,5,46,15,0.326,0,0,0,0
27,85.1,1.86,24.6,1,0,0,0,1,5,2,0.4,0,0,0,1
37,52.5,1.61,20.3,0,1,0,0,5,42,14,0.333,0,0,0,0
20,67.2,1.64,25.0,0,1,0,0,1,5,2,0.4,0,0,0,1
26,85.1,1.66,30.9,1,0,2,0,1,6,2,0.333,0,0,0,1
22,70.5,1.67,25.3,1,0,0,0,3,21,4,0.19,0,0,0,1
36,105.4,1.85,30.8,1,0,1,0,1,5,2,0.4,0,0,0,1
49,79.1,1.62,30.1,0,1,0,0,1,5,2,0.4,0,0,0,1
25,56.6,1.63,21.3,0,1,0,0,1,5,2,0.4,0,0,0,1
46,87.1,1.91,23.9,1,0,0,0,3,23,5,0.217,0,0,0,1
58,91.4,1.82,27.6,1,0,1,0,5,47,17,0.362,0,0,0,0
33,88.4,1.84,26.1,1,0,0,1,5,35,14,0.4,0,0,0,1
29,61.4,1.63,23.1,0,1,0,0,3,19,4,0.211,0,0,0,0
40,77.9,1.55,32.4,0,1,0,0,5,46,17,0.37,0,0,0,0
43,82.2,1.59,32.5,0,1,1,1,1,5,2,0.4,0,0,0,1
56,104.0,1.68,36.8,1,0,0,1,5,35,13,0.371,0,0,0,1
19,100.5,1.75,32.8,1,0,1,1,3,17,4,0.235,0,0,0,1
50,82.7,1.6,32.3,0,1,0,0,5,43,15,0.349,0,0,0,0
28,93.6,1.71,32.0,1,0,0,2,1,3,1,0.333,0,0,0,0
54,74.9,1.92,20.3,1,0,0,2,5,27,11,0.407,0,0,0,1
24,89.4,1.94,23.8,1,0,1,0,5,47,14,0.298,0,0,0,0
43,88.2,1.62,33.6,0,1,1,0,3,23,4,0.174,0,0,0,0
24,85.7,1.66,31.1,0,1,1,0,3,21,6,0.286,0,0,0,0
27,60.1,1.73,20.1,0,1,0,0,1,6,2,0.333,0,0,0,0
52,101.3,1.66,36.8,1,0,1,0,3,23,5,0.217,0,0,0,1
21,63.0,1.84,18.6,1,0,0,0,1,6,2,0.333,0,0,0,1
28,72.3,1.81,22.1,1,0,1,1,1,4,2,0.5,0,0,0,0
41,70.6,1.88,20.0,1,0,0,0,1,6,2,0.333,0,0,0,1
21,97.9,1.73,32.7,1,0,0,0,3,19,5,0.263,0,0,0,1
40,97.9,1.91,26.8,1,0,1,0,3,23,6,0.261,0,0,0,1
41,72.1,1.78,22.8,0,1,0,1,3,15,4,0.267,0,0,0,0
58,89.2,1.75,29.1,0,1,0,1,5,31,12,0.387,0,0,0,1
27,63.3,1.72,21.4,0,1,1,1,5,35,12,0.343,0,0,0,0
19,66.3,1.8,20.5,1,0,2,1,3,15,4,0.267,0,0,0,1
52,69.4,1.9,19.2,1,0,0,0,1,5,2,0.4,0,0,0,1
32,109.5,1.89,30.7,1,0,1,0,1,5,2,0.4,0,0,0,1
41,68.7,1.77,21.9,0,1,0,0,3,19,4,0.211,0,0,0,0
23,82.1,1.55,34.2,0,1,2,0,1,5,2,0.4,0,0,0,1
25,106.0,1.74,35.0,1,0,0,0,3,22,5,0.227,0,0,0,1
58,66.2,1.63,24.9,0,1,0,0,1,5,2,0.4,0,0,0,1
52,69.2,1.85,20.2,1,0,0,0,5,46,15,0.326,0,0,0,0
35,62.7,1.58,25.1,0,1,0,0,3,26,6,0.231,0,0,0,0
47,60.4,1.83,18.0,1,0,0,0,1,5,2,0.4,0,0,0,1
60,70.2,1.89,19.7,1,0,2,1,3,16,4,0.25,0,0,0,1
21,87.7,1.86,25.3,1,0,1,1,5,39,12,0.308,0,0,0,1
37,72.6,1.76,23.4,0,1,1,0,1,6,2,0.333,0,0,0,0
42,65.8,1.92,17.8,1,0,0,1,3,16,4,0.25,0,0,0,1
23,53.7,1.73,17.9,0,1,1,0,3,22,5,0.227,0,0,0,0
45,80.6,1.72,27.2,0,1,0,0,1,6,2,0.333,0,0,0,0
55,97.8,1.73,32.7,1,0,0,0,1,5,2,0.4,0,0,0,1
43,106.6,1.87,30.5,1,0,1,0,3,22,6,0.273,0,0,0,1
45,76.9,1.61,29.7,0,1,1,0,1,5,2,0.4,0,0,0,1
31,106.8,1.78,33.7,1,0,1,1,3,16,4,0.25,0,0,0,1
38,62.1,1.79,19.4,0,1,0,0,5,45,15,0.333,0,0,0,0
27,79.9,1.92,21.7,1,0,0,0,3,24,6,0.25,0,0,0,1
56,60.0,1.75,19.6,0,1,1,0,1,6,2,0.333,0,0,0,0
45,63.6,1.67,22.8,1,0,0,0,1,5,2,0.4,0,0,0,1
33,78.2,1.9,21.7,1,0,1,0,5,43,15,0.349,0,0,0,0
32,67.7,1.63,25.5,0,1,0,1,3,17,4,0.235,0,0,0,0
47,50.4,1.58,20.2,0,1,0,0,3,22,6,0.273,0,0,0,0
60,85.6,1.68,30.3,0,1,0,0,1,5,2,0.4,0,0,0,1
40,77.5,1.78,24.5,1,0,1,0,5,42,14,0.333,0,0,0,0
47,63.8,1.72,21.6,1,0,0,0,5,46,16,0.348,0,0,0,0
32,71.0,1.56,29.2,0,1,0,0,5,49,16,0.327,0,0,0,0
28,53.3,1.66,19.3,0,1,1,0,5,42,15,0.357,0,0,0,0
43,56.5,1.64,21.0,0,1,0,0,3,25,5,0.2,0,0,0,0
33,82.1,1.69,28.7,0,1,1,0,1,5,2,0.4,0,0,0,1
42,100.8,1.94,26.8,1,0,1,0,1,6,2,0.333,0,0,0,1
59,87.7,1.94,23.3,1,0,0,1,1,5,2,0.4,0,0,0,1
50,61.8,1.87,17.7,1,0,0,2,3,12,4,0.333,0,0,0,1
51,107.6,1.82,32.5,1,0,1,0,5,48,17,0.354,0,0,0,0
29,103.6,1.72,35.0,1,0,0,0,5,45,17,0.378,0,0,0,0
54,74.6,1.62,28.4,0,1,1,0,5,45,16,0.356,0,0,0,0
39,66.9,1.71,22.9,0,1,0,0,1,5,2,0.4,0,0,0,1
51,108.4,1.65,39.8,1,0,0,0,1,6,2,0.333,0,0,0,1
45,59.3,1.74,19.6,0,1,0,0,5,43,14,0.326,0,0,0,0
20,55.9,1.7,19.3,0,1,0,1,1,5,2,0.4,0,0,0,1
46,87.5,1.78,27.6,0,1,0,0,3,21,6,0.286,0,0,0,0
52,95.7,1.76,30.9,1,0,1,0,3,21,5,0.238,0,0,0,1
50,62.7,1.8,19.4,1,0,0,1,1,4,2,0.5,0,0,0,0
46,90.4,1.73,30.2,1,0,0,0,5,41,14,0.341,0,0,0,0
59,85.3,1.85,24.9,1,0,1,0,3,21,4,0.19,0,0,0,1
19,104.0,1.86,30.1,1,0,0,0,5,43,16,0.372,0,0,0,0
34,82.7,1.76,26.7,1,0,0,0,3,21,4,0.19,0,0,0,1
20,70.7,1.79,22.1,0,1,0,0,1,5,2,0.4,0,0,0,1
54,80.1,1.89,22.4,1,0,1,0,3,24,6,0.25,0,0,0,1
47,68.5,1.59,27.1,0,1,1,0,3,25,6,0.24,0,0,0,0
56,75.3,1.87,21.5,1,0,1,0,1,5,2,0.4,0,0,0,1
33,65.8,1.62,25.1,0,1,0,0,1,5,2,0.4,0,0,0,1
51,76.9,1.75,25.1,0,1,1,0,3,22,5,0.227,0,0,0,0
56,74.1,1.85,21.7,1,0,0,1,3,15,4,0.267,0,0,0,1
27,67.3,1.67,24.1,0,1,0,0,3,21,5,0.238,0,0,0,0
20,85.2,1.85,24.9,1,0,0,0,1,6,2,0.333,0,0,0,1
23,65.0,1.6,25.4,0,1,1,0,1,6,2,0.333,0,0,0,0
24,98.8,1.85,28.9,1,0,1,0,5,42,15,0.357,0,0,0,0
53,65.9,1.75,21.5,0,1,1,0,1,5,2,0.4,0,0,0,1
33,77.0,1.59,30.5,0,1,0,0,5,44,14,0.318,0,0,0,0
60,94.5,1.91,25.9,1,0,0,1,3,16,4,0.25,0,0,0,1
47,56.6,1.67,20.3,0,1,0,0,3,24,4,0.167,0,0,0,0
18,88.5,1.81,27.0,1,0,0,0,1,6,2,0.333,0,0,0,1
60,77.5,1.68,27.5,0,1,0,0,1,5,2,0.4,0,0,0,1
25,52.3,1.73,17.5,0,1,0,0,5,46,15,0.326,0,0,0,0
19,58.5,1.78,18.5,0,1,0,0,3,22,5,0.227,0,0,0,0
37,89.8,1.79,28.0,1,0,0,0,5,43,15,0.349,0,0,0,0
34,63.0,1.72,21.3,1,0,0,0,3,20,5,0.25,0,0,0,1
24,52.9,1.79,16.5,0,1,0,0,1,5,2,0.4,0,0,0,1
38,67.5,1.94,17.9,1,0,0,0,1,5,2,0.4,0,0,0,1
28,50.7,1.61,19.6,0,1,0,1,3,17,4,0.235,0,0,0,0
50,78.9,1.75,25.8,0,1,1,0,3,22,6,0.273,0,0,0,0
47,63.6,1.78,20.1,0,1,1,1,3,15,3,0.2,0,0,0,0
54,90.0,1.6,35.2,0,1,1,0,3,26,6,0.231,0,0,0,0
59,106.0,1.73,35.4,1,0,1,0,1,5,2,0.4,0,0,0,1
41,69.5,1.91,19.1,1,0,0,0,3,23,4,0.174,0,0,0,1
59,60.9,1.68,21.6,1,0,2,0,1,5,2,0.4,0,0,0,1
41,70.7,1.64,26.3,0,1,1,0,1,5,2,0.4,0,0,0,1
52,72.4,1.65,26.6,1,0,0,0,1,5,2,0.4,0,0,0,1
36,80.8,1.84,23.9,1,0,0,0,3,23,6,0.261,0,0,0,1
27,71.1,1.82,21.5,1,0,2,0,5,40,13,0.325,0,0,0,1
31,92.9,1.66,33.7,1,0,1,0,3,20,4,0.2,0,0,0,1
25,79.8,1.91,21.9,1,0,1,0,3,21,4,0.19,0,0,0,1
59,94.3,1.92,25.6,1,0,0,0,3,25,6,0.24,0,0,0,0
56,84.6,1.84,25.0,1,0,1,0,1,5,2,0.4,0,0,0,1
36,92.4,1.82,27.9,1,0,0,0,1,5,2,0.4,0,0,0,1
48,57.9,1.79,18.1,0,1,0,0,3,22,4,0.182,0,0,0,0
25,71.5,1.74,23.6,0,1,1,0,3,23,6,0.261,0,0,0,0
49,72.3,1.58,29.0,0,1,0,0,3,22,6,0.273,0,0,0,0
55,55.6,1.68,19.7,0,1,0,0,5,39,15,0.385,0,0,0,1
38,65.3,1.79,20.4,0,1,0,0,5,48,17,0.354,0,0,0,0
20,102.6,1.8,31.7,1,0,0,0,3,21,6,0.286,0,0,0,1
51,77.0,1.91,21.1,1,0,0,0,3,25,5,0.2,0,0,0,0
25,85.5,1.9,23.7,1,0,0,0,1,5,2,0.4,0,0,0,1
37,82.5,1.71,28.2,1,0,1,0,3,25,6,0.24,0,0,0,0
32,77.5,1.78,24.5,1,0,0,0,1,5,2,0.4,0,0,0,1
18,87.3,1.8,26.9,0,1,1,0,1,5,2,0.4,0,0,0,1
47,96.1,1.84,28.4,1,0,0,0,3,20,5,0.25,0,0,0,1
37,60.2,1.7,20.8,0,1,0,0,5,44,14,0.318,0,0,0,0
54,82.1,1.94,21.8,1,0,1,1,1,5,2,0.4,0,0,0,1
41,66.7,1.82,20.1,1,0,0,0,1,5,2,0.4,0,0,0,1
27,79.5,1.89,22.3,1,0,0,0,3,22,5,0.227,0,0,0,1
36,75.3,1.79,23.5,0,1,1,1,5,38,15,0.395,0,0,0,1
36,71.4,1.82,21.6,1,0,0,1,5,32,14,0.438,0,0,0,1
57,83.5,1.71,28.6,0,1,0,1,5,37,13,0.351,0,0,0,1
31,78.5,1.64,29.2,0,1,0,0,3,21,6,0.286,0,0,0,0
34,93.5,1.82,28.2,1,0,2,0,1,5,2,0.4,0,0,0,1
42,61.4,1.69,21.5,0,1,0,0,3,24,6,0.25,0,0,0,0
31,88.1,1.79,27.5,0,1,0,0,1,6,2,0.333,0,0,0,0
36,83.4,1.89,23.3,1,0,2,0,3,26,6,0.231,0,0,0,0
18,72.3,1.67,25.9,0,1,0,0,1,5,2,0.4,0,0,0,1
35,71.6,1.75,23.4,0,1,0,0,1,6,2,0.333,0,0,0,0
55,63.1,1.6,24.6,0,1,1,0,3,24,5,0.208,0,0,0,0
21,107.9,1.74,35.6,1,0,0,0,1,6,2,0.333,0,0,0,1
50,98.9,1.82,29.9,1,0,1,1,1,5,2,0.4,0,0,0,1
35,72.3,1.87,20.7,1,0,1,0,3,22,6,0.273,0,0,0,1
29,93.5,1.94,24.8,1,0,0,0,5,48,16,0.333,0,0,0,0
46,88.3,1.92,24.0,1,0,0,1,3,15,4,0.267,0,0,0,1
51,104.3,1.69,36.5,1,0,0,0,1,5,2,0.4,0,0,0,1
31,65.6,1.79,20.5,0,1,2,0,1,5,2,0.4,0,0,0,1
42,89.8,1.78,28.3,0,1,1,0,5,45,16,0.356,0,0,0,0
42,54.1,1.69,18.9,0,1,0,0,1,6,2,0.333,0,0,0,0
19,64.5,1.6,25.2,0,1,0,0,3,25,6,0.24,0,0,0,0
49,102.0,1.78,32.2,1,0,0,0,1,5,2,0.4,0,0,0,1
28,101.9,1.67,36.5,1,0,1,0,3,23,5,0.217,0,0,0,1
19,67.4,1.82,20.3,1,0,2,0,5,46,14,0.304,0,0,0,0
27,71.9,1.65,26.4,0,1,1,0,1,5,2,0.4,0,0,0,1
22,96.1,1.79,30.0,1,0,0,0,5,49,17,0.347,0,0,0,0
18,89.2,1.62,34.0,0,1,0,0,3,23,6,0.261,0,0,0,0
37,70.0,1.68,24.8,0,1,0,1,3,16,4,0.25,0,0,0,0
